,TxnID,TimeCreated,TimeModified,EditSequence,TxnNumber,CustomerRef,ClassRef,ARAccountRef,TemplateRef,TxnDate,RefNumber,BillAddress,BillAddressBlock,IsPending,IsFinanceCharge,TermsRef,DueDate,ShipDate,Subtotal,ItemSalesTaxRef,SalesTaxPercentage,SalesTaxTotal,AppliedAmount,BalanceRemaining,IsPaid,IsToBePrinted,IsToBeEmailed,CustomerSalesTaxCodeRef,ShipAddress,ShipAddressBlock,CustomerMsgRef,PONumber,Memo,SuggestedDiscountAmount,SuggestedDiscountDate
10,69F9-1197780249,2007-12-16T10:14:09+05:30,2024-12-15T18:28:05+05:30,1734267472,1371,"{'ListID': '800000B3-1197778093', 'FullName': 'Vasquez, Anabel:Basement Remodel'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-01-31,1002,"{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'City': 'San Mateo', 'State': 'CA', 'PostalCode': '09402'}","{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'Addr3': 'San Mateo, CA 09402'}",false,false,"{'ListID': '20000-933272658', 'FullName': 'Net 15'}",2025-02-15,2025-01-29,23205.24,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,1404.32,-24609.56,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'City': 'San Mateo', 'State': 'CA', 'PostalCode': '09402'}","{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'Addr3': 'San Mateo, CA 09402'}","{'ListID': '50000-933272660', 'FullName': 'Thank you for your business.'}",,Basement Remodel,,
11,8B5C-1197734808,2007-12-15T21:36:48+05:30,2024-12-15T18:28:04+05:30,1734267476,1428,"{'ListID': '800000BB-1197734773', 'FullName': 'Kanitz, Marion:Bay Window'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-02-18,1003,"{'Addr1': 'Marion Kanitz', 'Addr2': '3940 Cleveland Lane', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Marion Kanitz', 'Addr2': '3940 Cleveland Lane', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '20000-933272658', 'FullName': 'Net 15'}",2025-03-04,2024-02-18,6195.2,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,83.6,-6278.8,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Marion Kanitz', 'Addr2': '3940 Cleveland Lane', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Marion Kanitz', 'Addr2': '3940 Cleveland Lane', 'Addr3': 'Bayshore CA 94326'}",,,,,
12,9C44-1182054344,2007-06-17T09:55:44+05:30,2024-12-15T18:28:07+05:30,1734267487,1485,"{'ListID': '780000-1071507712', 'FullName': 'Bauman, Mark:Home Remodel'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-03-28,1004,"{'Addr1': 'Mark Bauman', 'Addr2': '910 S. Ivy', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Mark Bauman', 'Addr2': '910 S. Ivy', 'Addr3': 'Bayshore, CA   94326'}",false,false,"{'ListID': '20000-933272658', 'FullName': 'Net 15'}",2025-04-12,2025-06-16,16500.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,0.0,-16500.0,0.0,true,false,true,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Mark Bauman', 'Addr2': '910 S. Ivy', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Mark Bauman', 'Addr2': '910 S. Ivy', 'Addr3': 'Bayshore, CA 94326'}",,,,,
13,8BB7-1197734887,2007-12-15T21:38:07+05:30,2024-12-15T18:28:04+05:30,1734267477,1429,"{'ListID': '210000-933272658', 'FullName': 'Jacobsen, Doug:Poolhouse'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-04-16,1005,"{'Addr1': 'Doug Jacobsen', 'Addr2': '6845 Ocean View', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Doug Jacobsen', 'Addr2': '6845 Ocean View', 'Addr3': 'Bayshore, CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-05-16,2024-04-16,7673.5,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,318.02,-7991.52,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Doug Jacobsen', 'Addr2': '6845 Ocean View', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Doug Jacobsen', 'Addr2': '6845 Ocean View', 'Addr3': 'Bayshore, CA 94326'}","{'ListID': '80000-1071553460', 'FullName': 'Please sign this Change Order to indicate your approval.'}",,,,
14,9C92-1182054899,2007-06-17T10:04:59+05:30,2024-12-15T18:28:08+05:30,1734267487,1489,"{'ListID': '830000-1071531184', 'FullName': 'Fisher, Jennifer:Home Remodel'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-05-14,1006,"{'Addr1': 'Jennifer Fisher', 'Addr2': '7882 N. Lantana Lane', 'City': 'E. Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Jennifer Fisher', 'Addr2': '7882 N. Lantana Lane', 'Addr3': 'E. Bayshore,  CA  94326'}",false,false,"{'ListID': '30000-933272658', 'FullName': 'Due on receipt'}",2025-05-14,2025-06-16,16500.0,"{'ListID': '360000-1071521681', 'FullName': 'E. Bayshore/County'}",8.05,0.0,-16500.0,0.0,true,false,true,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Jennifer Fisher', 'Addr2': '7882 N. Lantana Lane', 'City': 'E. Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Jennifer Fisher', 'Addr2': '7882 N. Lantana Lane', 'Addr3': 'E. Bayshore, CA 94326'}",,,,,
15,9CC8-1182055294,2007-06-17T10:11:34+05:30,2024-12-15T18:28:08+05:30,1734267488,1493,"{'ListID': '650000-1071506078', 'FullName': 'Nelson, Wilma:Office Remodel'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-06-16,1007,"{'Addr1': 'Wilma E Nelson', 'Addr2': '300 Main St, Suite 5', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Wilma E Nelson', 'Addr2': '300 Main St, Suite 5', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-07-16,2025-06-16,11605.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,0.0,-11605.0,0.0,true,false,true,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Wilma E Nelson', 'Addr2': '300 Main St, Suite 5', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Wilma E Nelson', 'Addr2': '300 Main St, Suite 5', 'Addr3': 'Bayshore, CA 94326'}",,,,,
16,2AC7-1071513046,2003-12-16T00:00:46+05:30,2024-12-15T18:25:53+05:30,1734267352,496,"{'ListID': '5C0000-1071526575', 'FullName': 'Ruff, Bryan:Sun Room'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '80000-933288086', 'FullName': 'Custom Invoice'}",2024-07-20,1008,"{'Addr1': 'Bryan Ruff', 'Addr2': '782 Skyline Dr', 'City': 'East Bayshore', 'State': 'CA', 'PostalCode': '94327'}","{'Addr1': 'Bryan Ruff', 'Addr2': '782 Skyline Dr', 'Addr3': 'East Bayshore CA 94327'}",false,false,,2025-07-20,2024-11-15,5354.56,"{'ListID': '360000-1071521681', 'FullName': 'E. Bayshore/County'}",8.05,161.49,-5516.05,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}",,,,,,,
17,9CFA-1182056363,2007-06-17T10:29:23+05:30,2024-12-15T18:28:09+05:30,1734267489,1497,"{'ListID': '570000-1071525616', 'FullName': 'Prentice, Adelaide:Guest Villa'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-08-20,1009,"{'Addr1': 'Adelaide Prentice', 'Addr2': '1800 Appleseed Court', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Adelaide Prentice', 'Addr2': '1800 Appleseed Court', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-09-19,2024-07-20,36575.0,"{'ListID': '2D0000-933272656', 'FullName': 'San Domingo'}",7.5,0.0,-36575.0,0.0,true,false,true,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Adelaide Prentice', 'Addr2': '1800 Appleseed Court', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Adelaide Prentice', 'Addr2': '1800 Appleseed Court', 'Addr3': 'Bayshore, CA 94326'}",,,,,
18,9D38-1182058100,2007-06-17T10:58:20+05:30,2024-12-15T18:28:13+05:30,1734267490,1501,"{'ListID': '800000C0-1182057856', 'FullName': 'Sauler, Lyn:Home Remodel'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-09-20,1010,"{'Addr1': 'Lyn Sauler', 'Addr2': '8394 Weatherby Lane', 'City': 'Millbrae', 'State': 'CA', 'PostalCode': '94030'}","{'Addr1': 'Lyn Sauler', 'Addr2': '8394 Weatherby Lane', 'Addr3': 'Millbrae, CA 94030'}",false,false,"{'ListID': '20000-933272658', 'FullName': 'Net 15'}",2025-10-05,2025-06-17,16115.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,0.0,-16115.0,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Lyn Sauler', 'Addr2': '8394 Weatherby Lane', 'City': 'Millbrae', 'State': 'CA', 'PostalCode': '94030'}","{'Addr1': 'Lyn Sauler', 'Addr2': '8394 Weatherby Lane', 'Addr3': 'Millbrae, CA 94030'}",,,,,
19,2B55-1071523067,2003-12-16T02:47:47+05:30,2024-12-15T18:25:56+05:30,1734267353,500,"{'ListID': '470001-1071525403', 'FullName': 'Lamb, Brad:Room Addition'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2024-10-01,1011,"{'Addr1': 'Brad Lamb', 'Addr2': '1921 Appleseed Lane', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Brad Lamb', 'Addr2': '1921 Appleseed Lane', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-10-31,2024-10-01,10834.87,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,337.73,-11172.6,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Brad Lamb', 'Addr2': '1921 Appleseed Lane', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Brad Lamb', 'Addr2': '1921 Appleseed Lane', 'Addr3': 'Bayshore, CA 94326'}",,,,,
20,223A-1071510351,2003-12-15T23:15:51+05:30,2024-12-15T18:25:30+05:30,1734267329,392,"{'ListID': '5F0000-1071509601', 'FullName': 'Easley, Paula:Garage'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '70000-933287589', 'FullName': 'Progress Invoice'}",2024-10-09,1012,"{'Addr1': 'Paula Easley', 'Addr2': '140 Bay View', 'City': 'East Bayshore', 'State': 'CA', 'PostalCode': '94327'}","{'Addr1': 'Paula Easley', 'Addr2': '140 Bay View', 'Addr3': 'East Bayshore CA 94327'}",false,false,,2025-10-09,2024-10-09,2360.0,"{'ListID': '360000-1071521681', 'FullName': 'E. Bayshore/County'}",8.05,159.39,-2519.39,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}",,,,,,,
21,2919-1071511444,2003-12-15T23:34:04+05:30,2024-12-15T18:25:49+05:30,1734267348,482,"{'ListID': '590000-1071526363', 'FullName': 'Bolinski, Rafal:2nd story addition'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '70000-933287589', 'FullName': 'Progress Invoice'}",2024-10-14,1013,"{'Addr1': 'Rafal Bolinski', 'Addr2': '1421 Silverbell Ave', 'City': 'East Bayshore', 'State': 'CA', 'PostalCode': '94327'}","{'Addr1': 'Rafal Bolinski', 'Addr2': '1421 Silverbell Ave', 'Addr3': 'East Bayshore CA 94327'}",false,false,,2025-10-14,2024-10-14,4976.95,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,102.53,-5079.48,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}",,,,,,,
